Jantina,Status,Negeri,Salary,House,Years,Housesize,kitchensize,Pecah_dinding,flooring,flooring work,flooring_material,siling,Siling_material,Kabinet Dapur,Design_Cabinet,Jenis_Cabinet,saizbaseunit(ft),saizwallunit(ft),Saiztinggibaseunit(ft),Saiztinggiwallunit (ft),saiz tall cabinet (ft),Buitin_cabinet,materia_pintukabinet,material_handle,countertop,Materialcountertop,backsplash_wall ,Backplash_wallwork,Material_backsplash,Plumbing,sinki,Elektrik,Wiring_surface,wiring_conceal,Kerja_mengecat,Kos_upah,Kos_keseluruhan
Lelaki,Kahwin,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,490,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling Kayu,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,12,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13500,21890
Lelaki,Kahwin,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,5000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling Kayu,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14000,21987
Lelaki,Kahwin,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,490,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling Kayu,Ya,G- Shape,Base unit;wall unit,15,12,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14098,22099
Lelaki,Kahwin,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,5,4000,480,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling Kayu,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,12,3,4,2,Fridge;Oven;Microwave;Stove,Sibu / Perforated Aluminium,Tic �?? tac / Tekan Untuk Buka,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,13777,21666
Lelaki,Kahwin,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling Kayu,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,12,3,2.5,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13076,22098
Lelaki,Kahwin,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,10,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling Kayu,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Aluminium Built-in,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13786,20543
Perempuan,Kahwin,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,10,5000,450,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,14500,21888
Lelaki,Bercerai,Johor,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,400,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13300,22000
Lelaki,Bercerai,Johor,"M40 ( RM4,360 - RM 9,619 )",Banglo,20,5000,490,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,24000
Perempuan,Kahwin,Johor,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,5000,467,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15321,23099
Lelaki,Kahwin,Johor,"T20 ( > RM 9,619 )",Banglo,10,4000,450,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,2.5,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,16097,24876
Lelaki,Kahwin,Kedah,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,450,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,2.5,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,16099,24765
Perempuan,Kahwin,Pahang,"M40 ( RM4,360 - RM 9,619 )",Banglo,20,5000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling composite,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,2.5,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15999,23987
Lelaki,Bercerai,Pahang,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,460,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling gantung,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Aluminium Built-in,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,22000
Lelaki,Kahwin,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,5000,489,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling gantung,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14000,21765
Lelaki,Kahwin,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,10,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling gantung,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14999,21077
Lelaki,Bercerai,Negeri Sembilan,"T20 ( > RM 9,619 )",Banglo,20,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Aluminium Built-in,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14999,21000
Lelaki,Bercerai,Johor,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14088,21888
Lelaki,Bercerai,Negeri Sembilan,"M40 ( RM4,360 - RM 9,619 )",Banglo,20,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Aluminium Built-in,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13999,21322
Lelaki,Bujang,Johor,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15099,23000
Lelaki,Bujang,Johor,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Tic �?? tac / Tekan Untuk Buka,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14989,21999
Perempuan,Bercerai,Selangor,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,480,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14098,21666
Lelaki,Bercerai,Melaka,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,490,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,2.5,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,23888
Perempuan,Bercerai,Terengganu,"M40 ( RM4,360 - RM 9,619 )",Banglo,20,5000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,15,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,21899
Lelaki,Bercerai,Pahang,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling composite,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,14500,21500
Perempuan,Bercerai,Selangor,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,5000,540,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,23000
Perempuan,Bercerai,Pulau Pinang,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,5000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15000,23555
Perempuan,Bercerai,Melaka,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,5000,400,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,15444,22000
Perempuan,Bercerai,Pulau Pinang,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,4000,400,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,13000,20888
Perempuan,Bercerai,Pulau Pinang,"M40 ( RM4,360 - RM 9,619 )",Banglo,5,4000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling composite,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,13999,21777
Perempuan,Bercerai,Pulau Pinang,"M40 ( RM4,360 - RM 9,619 )",Banglo,10,5000,500,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling Kayu,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",16,12,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Aluminium Built-in,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,16089,24076
Perempuan,Bercerai,Perlis,B40 ( < RM 4360 ),Kediaman Servis/SoHo,10,611,100,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling PVC,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",8,8,3,2.5,2,Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,9000,13000
Perempuan,Bujang,Perlis,B40 ( < RM 4360 ),Kediaman Servis/SoHo,5,611,111,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling PVC,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",8,8,3,4,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Knob,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,9786,15000
Perempuan,Kahwin,Melaka,B40 ( < RM 4360 ),Kediaman Servis/SoHo,10,876,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling kapur/siling plaster,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",8,8,3,4,2,Oven;Microwave;Stove,Melamine,Handle Potong 45 Degree,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,9400,12999
Perempuan,Bujang,Perak,B40 ( < RM 4360 ),Kediaman Servis/SoHo,5,876,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling kapur/siling plaster,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,8,8,4,2,Oven;Microwave;Stove,Melamine,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,9786,13000
Perempuan,Bujang,Kedah,B40 ( < RM 4360 ),Kediaman Servis/SoHo,5,876,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling kapur/siling plaster,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",8,8,3,4,2,Oven;Microwave;Stove,4G Glass Door,Tic �?? tac / Tekan Untuk Buka,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,9000,13000
Perempuan,Kahwin,Kedah,B40 ( < RM 4360 ),Kediaman Servis/SoHo,5,1059,240,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling kapur/siling plaster,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,8,3,2.5,2,Oven;Microwave;Stove,4G Glass Door,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,10000,13999
Perempuan,Kahwin,Pahang,B40 ( < RM 4360 ),Kediaman Servis/SoHo,10,1076,225,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling kapur/siling plaster,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,8999,13999
Perempuan,Kahwin,Perak,B40 ( < RM 4360 ),Kediaman Servis/SoHo,10,1059,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling kapur/siling plaster,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Oven;Microwave;Stove,Solid Wood,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,10000,14000
Perempuan,Kahwin,Perak,B40 ( < RM 4360 ),Kediaman Servis/SoHo,5,650,150,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Kaca,Ya,Siling kapur/siling plaster,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,7,3,4,2,Oven;Microwave;Stove,Melamine,Handle Knob,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,8999,13333
Perempuan,Bujang,Kedah,B40 ( < RM 4360 ),Kediaman Servis/SoHo,10,890,198,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling kapur/siling plaster,Ya,G- Shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",8,6,3,4,2,Oven;Microwave;Stove,4G Glass Door,Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,11876,16000
Lelaki,Bujang,Kedah,B40 ( < RM 4360 ),Kediaman Servis/SoHo,10,869,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling composite,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",7,7,3,4,2,Oven;Microwave;Stove,Solid Wood,Handle Knob,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Ya,8999,12000
